Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
26,55.90993,2.5,0.1859729305,5.178025713e-07
26,55.90993,2.5,0.1940836917,5.480798339e-07
26,55.90993,2.5,0.2025481457,5.800364346e-07
26,55.90993,2.5,0.2113817128,6.137624829e-07
26,55.90993,2.5,0.2206004855,6.493535241e-07
26,55.90993,2.5,0.2302212572,6.869786592e-07
26,55.90993,2.5,0.2402615534,7.266793076e-07
26,55.90993,2.5,0.250739663,7.685665899e-07
26,55.90993,2.5,0.261674672,8.127591325e-07
26,55.90993,2.5,0.2730864978,8.5946246e-07
26,55.90993,2.5,0.2849959255,9.087297654e-07
26,55.90993,2.5,0.2974246459,9.606980615e-07
26,55.90993,2.5,0.3103952944,1.015514575e-06
26,55.90993,2.5,0.3239314927,1.073429275e-06
26,55.90993,2.5,0.3380578913,1.134510133e-06
26,55.90993,2.5,0.3528002143,1.198926062e-06
26,55.90993,2.5,0.3681853062,1.266859724e-06
26,55.90993,2.5,0.3842411805,1.338615324e-06
26,55.90993,2.5,0.4009970708,1.414279352e-06
26,55.90993,2.5,0.4184834833,1.494060016e-06
26,55.90993,2.5,0.4367322528,1.578183867e-06
26,55.90993,2.5,0.4557765998,1.667021301e-06
26,55.90993,2.5,0.4756511911,1.760681978e-06
26,55.90993,2.5,0.4963922027,1.859422497e-06
26,55.90993,2.5,0.5180373849,1.963523754e-06
26,55.90993,2.5,0.5406261313,2.073436926e-06
26,55.90993,2.5,0.5641995496,2.189300613e-06
26,55.90993,2.5,0.5888005363,2.311430994e-06
26,55.90993,2.5,0.6144738543,2.440176243e-06
26,55.90993,2.5,0.6412662139,2.576086091e-06
26,55.90993,2.5,0.6692263573,2.719335258e-06
26,55.90993,2.5,0.6984051465,2.870313249e-06
26,55.90993,2.5,0.7288556558,3.029451486e-06
26,55.90993,2.5,0.760633267,3.197419907e-06
26,55.90993,2.5,0.7937957701,3.374438257e-06
