Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
23,50.9975,2.5,0.1749089288,7.505876926e-08
23,50.9975,2.5,0.1825372077,7.888970798e-08
23,50.9975,2.5,0.1904981435,8.290812012e-08
23,50.9975,2.5,0.1988062399,8.712297412e-08
23,50.9975,2.5,0.2074766326,9.154370118e-08
23,50.9975,2.5,0.2165251169,9.618395607e-08
23,50.9975,2.5,0.2259681764,1.010504783e-07
23,50.9975,2.5,0.2358230129,1.06154079e-07
23,50.9975,2.5,0.2461075779,1.115061694e-07
23,50.9975,2.5,0.256840605,1.171230056e-07
23,50.9975,2.5,0.268041644,1.230128675e-07
23,50.9975,2.5,0.2797310965,1.29188786e-07
23,50.9975,2.5,0.2919302529,1.356645646e-07
23,50.9975,2.5,0.304661331,1.424595719e-07
23,50.9975,2.5,0.3179475167,1.495839573e-07
23,50.9975,2.5,0.3318130054,1.570534252e-07
23,50.9975,2.5,0.3462830469,1.648846678e-07
23,50.9975,2.5,0.3613839902,1.731007796e-07
23,50.9975,2.5,0.3771433321,1.817141759e-07
23,50.9975,2.5,0.3935897669,1.907437807e-07
23,50.9975,2.5,0.4107532382,2.002097744e-07
23,50.9975,2.5,0.4286649935,2.101397099e-07
23,50.9975,2.5,0.4473576407,2.205487484e-07
23,50.9975,2.5,0.4668652074,2.314596898e-07
23,50.9975,2.5,0.4872232023,2.428969253e-07
23,50.9975,2.5,0.5084686799,2.548933421e-07
23,50.9975,2.5,0.5306403073,2.674674262e-07
23,50.9975,2.5,0.5537784345,2.806466429e-07
23,50.9975,2.5,0.5779251672,2.94460464e-07
23,50.9975,2.5,0.6031244435,3.089481572e-07
23,50.9975,2.5,0.6294221126,3.241322326e-07
23,50.9975,2.5,0.6568660186,3.400457679e-07
23,50.9975,2.5,0.6855060866,3.567243633e-07
23,50.9975,2.5,0.7153944128,3.742149138e-07
23,50.9975,2.5,0.7465853591,3.925447974e-07
23,50.9975,2.5,0.779135651,4.117538401e-07
23,50.9975,2.5,0.8131044799,4.318850295e-07
23,50.9975,2.5,0.8485536105,4.529943727e-07
23,50.9975,2.5,0.8855474915,4.751151318e-07
23,50.9975,2.5,0.9241533726,4.982952415e-07
23,50.9975,2.5,0.964441425,5.225865877e-07
23,50.9975,2.5,1.006484868,5.480560522e-07
23,50.9975,2.5,1.050360102,5.747440046e-07
23,50.9975,2.5,1.096146845,6.027081138e-07
23,50.9975,2.5,1.143928273,6.320109728e-07
